id,name,age,department,salary,performance_score,years_of_experience,last_promotion_year,location
1,Vritika Dora,33,HR,1216234.97,7,20,2018,Chennai
2,Romil Edwin,35,Finance,1148367.24,6,23,2017,Delhi
3,Nehmat Malhotra,57,Finance,562429.32,8,18,2017,Chennai
4,Seher Sood,36,Marketing,808112.08,2,5,2019,Chennai
5,Aaina Devi,49,Finance,601307.12,10,4,2021,Bangalore
6,Bhamini Ganesh,34,Finance,474446.45,3,34,2023,Hyderabad
7,Kabir D’Alia,31,HR,1090056.43,9,13,2022,Bangalore
8,Bhavin Bali,49,Finance,1085447.81,4,7,2022,Delhi
9,Kavya Singh,59,IT,431336.78,8,20,2021,Bangalore
10,Pihu Savant,55,Finance,513933.16,5,3,2023,Hyderabad
11,Farhan Doctor,54,Marketing,962219.39,2,2,2023,Delhi
12,Aarav Sha,52,HR,313001.16,3,14,2015,Chennai
13,Baiju De,36,Finance,1419964.22,3,22,2022,Mumbai
14,Taran Chanda,51,HR,859332.12,5,16,2020,Mumbai
15,Purab Tella,58,Marketing,1107420.53,1,13,2017,Delhi
16,Kiara Chaudhuri,24,IT,469058.82,4,14,2019,Chennai
17,Dharmajan Devi,32,Finance,1040928.23,2,11,2021,Chennai
18,Shray Anne,29,IT,340063.41,4,1,2022,Hyderabad
19,Charvi Agarwal,45,HR,434066.2,4,22,2016,Mumbai
20,Anya Raju,35,Finance,647923.77,2,6,2019,Bangalore
21,Yakshit Mani,49,HR,551014.88,6,20,2019,Delhi
22,Ojas Trivedi,50,Sales,493303.22,10,32,2018,Mumbai
23,Devansh Mandal,23,Sales,1106596.69,7,29,2017,Chennai
24,Prerak De,48,Sales,468623.34,9,28,2019,Mumbai
25,Lagan Bhatia,23,Sales,857421.22,3,32,2021,Bangalore
26,Renee Hegde,24,HR,1153216.99,3,23,2016,Hyderabad
27,Sumer Golla,29,IT,1213728.75,6,29,2022,Delhi
28,Taimur Sethi,26,Finance,782452.52,9,3,2021,Mumbai
29,Aradhya Buch,45,HR,628145.69,7,3,2017,Mumbai
30,Eshani Chahal,49,Sales,484698.05,3,8,2016,Chennai
31,Inaaya  Ganesan,51,Marketing,595777.17,7,28,2015,Chennai
32,Gatik Kannan,45,IT,395035.3,6,25,2022,Bangalore
33,Rati Halder,31,Finance,1092653.55,3,35,2023,Bangalore
34,Parinaaz Borra,45,Sales,1438152.13,3,31,2020,Bangalore
35,Krish Sankar,59,IT,819984.64,1,21,2017,Hyderabad
36,Nitya Wable,55,Finance,303123.21,2,33,2023,Bangalore
37,Samar Uppal,25,IT,1283941.99,9,35,2017,Mumbai
38,Onkar Bhandari,31,IT,437701.48,4,29,2015,Hyderabad
39,Aaryahi Bhavsar,52,Sales,1054121.63,1,13,2017,Hyderabad
40,Tiya Khosla,49,Finance,876635.88,6,24,2019,Mumbai
41,Mohanlal Sankar,29,IT,667901.17,1,16,2018,Mumbai
42,Anya Subramanian,46,Sales,478975.81,8,17,2019,Mumbai
43,Rati Mangal,53,Sales,775896.3,6,21,2018,Hyderabad
44,Inaaya  Bajaj,25,Marketing,503372.54,5,20,2015,Hyderabad
45,Piya Bandi,40,HR,1098991.86,8,31,2018,Hyderabad
46,Aayush Kara,57,HR,622873.71,1,24,2021,Chennai
47,Divit Bobal,33,Finance,1145897.1,3,30,2022,Bangalore
48,Aarav Gala,36,Sales,1388355.1,10,23,2018,Delhi
49,Tara Kari,59,Marketing,375528.92,1,25,2020,Mumbai
50,Kaira Tailor,31,IT,597455.16,6,33,2017,Delhi
51,Indrajit Sekhon,24,HR,419411.42,2,33,2017,Delhi
52,Ryan Ramachandran,60,IT,890483.95,1,24,2020,Mumbai
53,Yuvaan Goswami,29,IT,411982.86,4,21,2023,Bangalore
54,Fateh Joshi,28,Marketing,362110.02,2,29,2016,Hyderabad
55,Navya Gulati,57,IT,1290466.99,1,26,2022,Hyderabad
56,Shalv Luthra,26,Sales,1381425.27,4,2,2019,Bangalore
57,Saksham Wason,38,HR,764591.27,3,18,2018,Hyderabad
58,Vardaniya Subramanian,27,HR,902802.56,3,17,2015,Delhi
59,Dhanuk Magar,45,IT,1183437.1,6,18,2018,Delhi
60,Arnav Ramanathan,44,Sales,952092.26,9,11,2015,Hyderabad
61,Ishaan Solanki,55,Sales,381655.43,2,28,2018,Hyderabad
62,Hazel Wadhwa,31,Sales,865966.8,9,3,2016,Bangalore
63,Aarush Doshi,37,Finance,1011932.52,1,31,2018,Bangalore
64,Elakshi Halder,33,Sales,1162067.88,8,2,2017,Chennai
65,Adah Chaudhuri,22,Sales,1362634.12,2,9,2022,Mumbai
66,Prisha Atwal,24,Marketing,1209737.09,1,22,2019,Chennai
67,Samar Bhargava,26,HR,1294311.32,3,15,2021,Hyderabad
68,Ahana  Malhotra,32,Sales,1476547.15,8,4,2015,Delhi
69,Uthkarsh Verma,27,HR,1036842.19,6,14,2018,Hyderabad
70,Arnav Manne,31,Sales,608720.82,4,18,2019,Hyderabad
71,Anay Aurora,43,Finance,528107.11,5,28,2015,Bangalore
72,Veer Wadhwa,35,HR,655813.19,5,12,2016,Hyderabad
73,Drishya Amble,48,Marketing,1183896.07,3,28,2016,Hyderabad
74,Inaaya  Tak,57,Sales,727550.33,3,15,2019,Bangalore
75,Rohan Barad,50,Sales,512959.68,5,3,2021,Bangalore
76,Taran Ratta,30,IT,949773.65,5,23,2019,Bangalore
77,Tanya Warrior,56,Finance,818714.23,9,32,2021,Bangalore
78,Shaan Kashyap,31,HR,1242089.12,4,24,2021,Hyderabad
79,Anaya Ram,36,IT,510389.61,10,17,2018,Chennai
80,Inaaya  Baral,30,HR,1295130.46,2,32,2020,Hyderabad
81,Shalv Sarraf,30,Finance,1184018.4,1,19,2018,Bangalore
82,Rati Babu,39,Sales,795996.17,5,11,2022,Chennai
83,Yuvraj  Chaudhary,31,Sales,1109065.34,2,11,2022,Bangalore
84,Siya Vasa,50,HR,1266745.16,2,8,2016,Delhi
85,Lavanya Saha,51,Finance,525521.14,9,24,2017,Bangalore
86,Biju Buch,45,HR,717924.07,2,2,2020,Mumbai
87,Yasmin Boase,38,HR,914340.8,10,33,2022,Delhi
88,Kartik Deo,56,IT,1212173.67,4,27,2022,Chennai
89,Gokul Chacko,37,Finance,1102145.28,2,29,2017,Mumbai
90,Navya Sibal,54,Marketing,686859.76,6,3,2020,Hyderabad
91,Tanya Bera,29,Finance,1018714.77,10,18,2021,Chennai
92,Rohan Ramaswamy,52,HR,1439803.21,5,34,2021,Bangalore
93,Shaan Kurian,28,IT,834678.7,10,26,2021,Chennai
94,Uthkarsh Mangal,24,Finance,1249861.68,6,14,2018,Bangalore
95,Advika Singhal,29,HR,730548.56,10,22,2017,Bangalore
96,Seher Sheth,51,Finance,1074613.34,4,28,2023,Bangalore
97,Suhana Sarraf,26,Finance,864810.84,8,34,2019,Chennai
98,Vaibhav Kadakia,41,Finance,1074099.86,5,20,2022,Bangalore
99,Shanaya Choudhury,51,Marketing,826735.5,2,2,2023,Delhi
100,Yuvraj  Brar,47,HR,586422.31,10,9,2018,Bangalore
101,Anahi Loke,59,Marketing,1382207.96,9,28,2023,Chennai
102,Kiaan Dass,47,HR,1411304.51,2,7,2017,Bangalore
103,Ela Kata,59,Sales,574234.41,4,26,2020,Mumbai
104,Arhaan Dara,34,HR,1293465.15,1,26,2017,Mumbai
105,Seher Sachdev,28,Finance,1300241.59,4,31,2021,Mumbai
106,Aayush Keer,56,HR,365565.99,5,4,2020,Hyderabad
107,Shray Bahl,36,Finance,711811.78,6,4,2021,Delhi
108,Hunar Kapoor,40,Finance,1106081.1,1,32,2021,Chennai
109,Misha Gupta,26,HR,1144646.11,9,25,2021,Delhi
110,Rati Rajan,44,Sales,1023611.82,2,9,2019,Bangalore
111,Ehsaan Srinivas,51,HR,363678.61,10,26,2022,Hyderabad
112,Indrans Dey,54,Sales,1346922.97,2,27,2017,Bangalore
113,Riaan Kapoor,30,HR,940085.56,6,20,2017,Chennai
114,Kartik Shenoy,33,IT,915667.45,4,30,2015,Bangalore
115,Samarth Comar,41,Finance,985269.93,4,30,2021,Bangalore
116,Myra Batta,44,Sales,998608.16,6,3,2015,Hyderabad
117,Ivana Bhakta,26,HR,529547.38,7,16,2015,Bangalore
118,Tanya Khosla,57,IT,609146.98,4,25,2020,Mumbai
119,Tejas Sampath,41,Sales,485169.97,8,19,2016,Delhi
120,Siya Khurana,45,HR,639170.35,1,12,2016,Bangalore
